,episode,end_day,epsilon,mean_reward,mean_loss,max_berries,mean_berries,max_berries_consumed,mean_berries_consumed,gini_berries_consumed,mean_berries_thrown,max_health,mean_health,median_health,variance_health,deceased,num_emerged_norms
0,1,50,0.05,11.534583333333337,0,1.0,0.2777777777777778,3.0,0.8333333333333334,0.36764705882352944,0.2222222222222222,2.0,0.8027777777777779,0.7000000000000001,0.3071349206349205,2,0
0,2,50,0.05,13.816250000000007,0,2.0,0.235,13.0,5.595,0.11585365853658547,1.085,4.5,1.6069999999999995,1.2999999999999985,1.2234683417085428,0,0
0,3,50,0.05,14.868750000000004,0,2.0,0.285,15.0,6.23,0.09782608695652173,0.675,5.200000000000004,1.9879999999999993,1.599999999999998,1.5232723618090465,0,0
0,4,50,0.05,14.346250000000005,0,2.0,0.255,14.0,5.51,0.13372093023255816,0.685,4.1999999999999975,1.5559999999999994,1.0999999999999996,1.208908542713566,0,0
0,5,50,0.05,13.473750000000004,0,2.0,0.305,16.0,6.445,0.1648936170212767,0.91,5.600000000000005,2.116999999999999,1.5999999999999996,1.8503628140703536,0,0
0,6,50,0.05,14.595000000000008,0,2.0,0.29,15.0,6.165,0.10106382978723394,0.675,5.000000000000003,1.9489999999999992,1.599999999999998,1.3664311557788966,0,0
0,7,50,0.05,14.465000000000002,0,2.0,0.30158730158730157,8.0,3.4126984126984126,0.16025641025641035,0.1111111111111111,3.0999999999999996,1.222222222222222,1.0,0.5102222222222219,1,0
0,8,50,0.05,14.632083333333338,0,2.0,0.3,10.0,3.7153846153846155,0.18902439024390238,0.2153846153846154,3.6999999999999984,1.3546153846153843,1.1999999999999997,0.7750560524746561,1,0
0,9,50,0.05,13.702500000000006,0,1.0,0.22,14.0,5.99,0.13372093023255816,0.605,4.999999999999998,1.8439999999999992,1.2999999999999985,1.413933668341708,0,0
0,10,50,0.05,15.623750000000005,0,2.0,0.26,16.0,6.17,0.1377551020408163,0.81,5.4,1.9519999999999993,1.6999999999999984,1.6145688442211048,0,0
0,11,50,0.05,15.273750000000005,0,2.0,0.265,17.0,6.03,0.13043478260869557,0.565,6.000000000000001,1.8679999999999992,1.6999999999999993,1.4178653266331653,0,0
0,12,50,0.05,14.401250000000005,0,2.0,0.24,14.0,6.09,0.12777777777777777,1.365,4.799999999999998,1.9039999999999995,1.4499999999999986,1.538275376884421,0,0
0,13,50,0.05,11.611666666666672,0,1.0,0.23846153846153847,11.0,3.953846153846154,0.20833333333333326,0.6,4.799999999999999,1.4976923076923072,1.3999999999999992,1.263327966607036,1,0
0,14,50,0.05,15.400000000000007,0,1.0,0.255,18.0,6.215,0.1648936170212767,1.0,6.600000000000001,1.9789999999999994,1.6499999999999995,2.104280402010049,0,0
0,15,50,0.05,12.888750000000003,0,2.0,0.28,14.0,5.67,0.11585365853658547,0.745,4.600000000000001,1.6519999999999992,1.2999999999999998,1.3582874371859293,0,0
0,16,50,0.05,15.483750000000006,0,1.0,0.24675324675324675,11.0,4.785714285714286,0.17222222222222228,0.5909090909090909,4.099999999999998,1.696753246753246,1.7999999999999987,0.9621462524403687,1,0
0,17,50,0.05,13.97666666666667,0,2.0,0.3137254901960784,8.0,2.7941176470588234,0.18421052631578938,0.3431372549019608,3.2999999999999994,1.1509803921568622,0.8999999999999999,0.5983653659483592,1,0
0,18,50,0.05,14.006250000000007,0,2.0,0.27,15.0,5.995,0.14130434782608692,0.3,4.9,1.8469999999999993,1.2000000000000002,1.6633075376884414,0,0
0,19,50,0.05,10.115833333333335,0,1.0,0.3333333333333333,4.0,1.2222222222222223,0.3790322580645161,0.19444444444444445,2.3,1.036111111111111,1.0499999999999998,0.3560873015873015,2,0
0,20,50,0.05,14.053750000000004,0,2.0,0.225,13.0,5.56,0.11904761904761907,0.705,4.199999999999998,1.5859999999999994,1.0999999999999996,1.1075417085427128,0,0
